,Open,High,Low,Close,Volume,TradingDate
218,82300.0,82500.0,80600.0,81400.0,3466600,2022-04-20
219,81000.0,81100.0,79600.0,80100.0,4662100,2022-04-21
220,80500.0,81200.0,80100.0,81000.0,2613900,2022-04-22
221,82200.0,82200.0,79000.0,80100.0,3656200,2022-04-25
222,80100.0,82000.0,79200.0,81000.0,4528900,2022-04-26
223,81000.0,81300.0,79900.0,81300.0,2142900,2022-04-27
224,81300.0,82000.0,80600.0,81700.0,3173600,2022-04-28
225,81900.0,82800.0,80800.0,82000.0,3227000,2022-04-29
226,82000.0,82300.0,80000.0,80500.0,3050100,2022-05-04
227,81000.0,81700.0,80100.0,81200.0,2172500,2022-05-05
228,81000.0,81000.0,79800.0,80800.0,3892300,2022-05-06
229,80400.0,80500.0,78200.0,78500.0,3577100,2022-05-09
230,77000.0,79000.0,76600.0,79000.0,3350000,2022-05-10
231,80100.0,80700.0,78100.0,78700.0,2688300,2022-05-11
232,79500.0,80000.0,74700.0,75300.0,3516100,2022-05-12
233,75000.0,77300.0,72500.0,75000.0,3817000,2022-05-13
234,75100.0,75300.0,73600.0,75000.0,2173400,2022-05-16
235,75000.0,78300.0,74100.0,78300.0,2759700,2022-05-17
236,78300.0,78300.0,75000.0,78300.0,2807100,2022-05-18
237,76900.0,78300.0,75000.0,78000.0,2448500,2022-05-19
238,77900.0,78500.0,77100.0,77800.0,2381900,2022-05-20
239,77500.0,77600.0,76000.0,76400.0,1912800,2022-05-23
240,76400.0,77200.0,75100.0,77200.0,2384700,2022-05-24
241,78000.0,78900.0,76900.0,78900.0,2947500,2022-05-25
242,78500.0,80000.0,77100.0,78000.0,3253700,2022-05-26
243,78000.0,79500.0,77300.0,78400.0,3410700,2022-05-27
244,78500.0,78700.0,77100.0,78700.0,2673200,2022-05-30
245,78000.0,78500.0,77700.0,78000.0,2305900,2022-05-31
246,78000.0,78300.0,77400.0,78000.0,2440800,2022-06-01
247,78100.0,79900.0,78100.0,78900.0,2394400,2022-06-02
248,79000.0,79300.0,76000.0,77500.0,2327400,2022-06-03
